"","name","year","ratings"
"1","Nayakan","(1987)","8.4"
"2","Anbe Sivam","(2003)","8.4"
"3","Pariyerum Perumal","(2018)","8.4"
"4","Jai Bhim","(2021)","8.4"
"5","Soorarai Pottru","(2020)","8.3"
"6","Thevar Magan","(1992)","8.3"
"7","Kaithi","(2019)","8.3"
"8","96","(2018)","8.3"
"9","Visaaranai","(2015)","8.3"
"10","Asuran","(2019)","8.3"
"11","Thalapathi","(1991)","8.3"
"12","Sarpatta Parambarai","(2021)","8.3"
"13","Thani Oruvan","(2015)","8.2"
"14","Peranbu","(2018)","8.2"
"15","Vada Chennai","(2018)","8.2"
"16","Anniyan","(2005)","8.2"
"17","Ratsasan","(2018)","8.2"
"18","Sagara Sangamam","(1983)","8.2"
"19","Iruvar","(1997)","8.2"
"20","Aaranya Kaandam","(2010)","8.1"
"21","Kannathil Muthamittal","(2002)","8.1"
"22","Super Deluxe","(2019)","8.1"
"23","Mudhalvan","(1999)","8.1"
"24","Kuruthipunal","(1995)","8.1"
"25","Aruvi","(2016)","8.1"
"26","Papanasam","(2015)","8.1"
"27","Mahanadhi","(1994)","8.1"
"28","Vikram Vedha","(2017)","8.1"
"29","Michael Madana Kama Rajan","(1990)","8.1"
"30","Mandela","(2021)","8.1"
"31","Vikram","(2022)","8.1"
"32","Kadaisi Vivasayi","(2021)","8.1"
"33","Soodhu Kavvum","(2013)","8.1"
"34","Kaakkaa Muttai","(2014)","8.1"
"35","Dhuruvangal Pathinaaru","(2016)","8.1"
"36","Virumandi","(2004)","8.1"
"37","Moondram Pirai","(1982)","8.1"
"38","Jigarthanda","(2014)","8.1"
"39","Thillu Mullu","(1981)","8.1"
"40","Pithamagan","(2003)","8.1"
"41","Theeran Adhigaaram Ondru","(2017)","8.1"
"42","Baasha","(1995)","8.1"
"43","Alai Payuthey","(2000)","8.0"
"44","Roja","(1992)","8.0"
"45","Apoorva Sagodharargal","(1989)","8.0"
"46","Kantara","(2022)","8.0"
"47","Bombay","(1995)","8.0"
"48","Kattradhu Thamizh","(2007)","8.0"
"49","Indian","(1996)","8.0"
"50","Padayappa","(1999)","8.0"
